edad;ingreso;antiguedad;num_productos;calificacion_crediticia;monto_prestamos;num_transacciones;banca_online;tiene_tarjeta;saldo_anterior;saldo_anual
43;32293.36315;7;2;816;15074.19526;15;1;1;1888.579158;21778.56007
42;61325.72714;0;1;774;20794.49363;1;1;0;6069.356777;10557.93363
61;85280.16838;12;2;728;17083.66734;12;0;0;21830.45769;51151.54848
39;16139.99413;8;4;627;22744.43035;14;0;1;7448.429202;20523.77548
64;34275.19758;3;2;778;44476.45043;42;1;0;13201.44506;13891.07996
32;75328.0742;3;1;688;31630.82871;29;0;0;17736.09493;41143.14392
21;53845.92647;7;4;571;12429.61957;34;1;0;7093.840791;32013.16705
51;36103.77782;8;1;720;71306.50922;9;1;0;16020.18999;37749.81185
32;90118.58436;4;4;717;14225.6579;18;0;1;1762.639884;22979.72313
57;29738.03052;3;2;534;30619.13638;8;1;1;6203.799397;35605.74636
62;54004.70441;14;1;612;36661.72273;47;1;1;4864.931563;20153.26419
39;68297.09878;4;5;522;26914.98563;30;1;0;5775.617442;28450.0655
27;33089.43658;14;3;545;18579.08402;48;0;0;3841.67863;41840.24772
46;41802.28821;11;1;838;19029.542;33;1;1;9143.695135;32482.78219
57;61297.06887;4;4;541;28460.86775;28;0;1;27895.52263;60259.45369
59;22525.55028;9;1;593;15819.97206;29;0;1;6911.11553;14749.44266
43;78648.45202;5;2;581;63940.22945;45;0;0;2589.707147;8784.555402
19;46439.19454;5;3;806;62550.54976;23;1;0;3137.395283;22772.42724
56;80815.33838;8;2;555;57135.55046;34;1;1;1784.808876;23597.4886
39;65303.41453;11;2;573;29907.31759;11;0;1;6220.206398;32003.4333
58;48974.58747;9;5;819;96955.28079;32;1;0;7196.095988;57373.8209
27;28156.53043;11;4;737;11794.08959;49;1;1;8221.073892;25592.1467
35;44060.8239;10;4;557;53040.91476;12;0;0;14260.54917;35017.02839
53;94378.49846;9;5;522;51047.93841;45;0;0;13226.78266;43057.62655
48;59685.62229;13;2;523;75693.50488;29;1;0;3571.52924;23292.87401
