distancia;peso;volumen;modo_transporte;urgencia;fragilidad;num_paquetes_cliente;tipo_cliente;distancia_centro_distribucion;costo_combustible;costo_envio
269.2232558;7.510924606;0.004401057;Aéreo;Express;No Frágil;10;Empresarial;39.19358684;2.959336228;301.4217938
370.8017702;5.634639627;0.961574444;Aéreo;Normal;Frágil;4;Empresarial;9.434287588;3.487058693;255.4190959
217.543419;5.091983211;0.177710594;Marítimo;Express;Frágil;7;Individual;43.27622466;2.894714294;272.8090429
94.12915633;1.524597482;1.362651851;Terrestre;Express;Frágil;15;Empresarial;28.21912023;3.006986956;231.1216307
264.8203597;0.81540578;0.693044408;Marítimo;Express;Frágil;13;Individual;23.06033247;3.661058605;301.8907578
165.5558796;9.62184687;0.017821098;Marítimo;Express;No Frágil;1;Empresarial;95.5141261;3.074724231;309.4440963
274.119272;15.45094794;0.040157195;Aéreo;Express;Frágil;13;Individual;38.88551053;3.054882243;352.0861742
251.32688;16.88015672;0.281997613;Terrestre;Normal;No Frágil;11;Empresarial;55.50156688;3.185423666;338.3707007
143.9895392;9.276486615;1.039138687;Terrestre;Express;No Frágil;15;Empresarial;30.46867425;3.028106046;289.4654596
309.286099;1.881069821;0.60505574;Aéreo;Normal;No Frágil;9;Individual;10.10448627;3.522926161;261.2488348
239.9159279;6.122718567;0.070518079;Aéreo;Normal;No Frágil;3;Empresarial;54.69063218;2.44052108;281.2830134
144.9726966;12.0880628;0.255081136;Terrestre;Normal;Frágil;18;Empresarial;11.41401908;3.218332299;265.7350937
145.2930547;5.268973252;0.162213269;Aéreo;Express;No Frágil;10;Individual;56.91455085;3.65446029;293.0285093
512.8375957;4.851694401;0.168554629;Terrestre;Express;Frágil;5;Individual;33.44065882;2.974667401;382.3347545
251.4687264;3.210578064;0.003634802;Marítimo;Express;Frágil;7;Individual;36.31347908;3.754216328;255.9123026
215.1466171;11.60507278;0.704557642;Marítimo;Normal;No Frágil;14;Individual;66.83986527;2.771341866;351.1278435
88.99793941;9.407402416;2.123771641;Marítimo;Express;Frágil;5;Empresarial;76.16164221;3.521549279;246.0768464
230.9783472;8.061107937;0.554637483;Aéreo;Express;Frágil;16;Individual;56.8118941;2.672876861;390.2386774
288.8378773;5.343091311;0.577229636;Aéreo;Express;No Frágil;9;Empresarial;38.20967174;4.276417975;336.1293578
262.2954975;4.518953445;0.196960904;Terrestre;Normal;Frágil;18;Individual;39.70478071;4.030507787;363.6275777
489.6191997;2.118610408;0.13816719;Terrestre;Normal;Frágil;7;Individual;25.0451372;3.659550525;350.4907666
190.1197771;1.034716593;0.028513588;Aéreo;Normal;Frágil;6;Empresarial;16.51141461;3.176944615;186.1559271
283.3989042;3.925599056;0.455620325;Terrestre;Normal;Frágil;10;Empresarial;89.92981243;3.63326038;405.6492411
408.2885712;0.325142595;0.60523969;Terrestre;Normal;Frágil;19;Empresarial;50.72611923;2.85543405;474.3498153
227.3205855;1.211492006;1.102483331;Aéreo;Express;Frágil;15;Empresarial;25.60470311;3.532145036;309.4606575
289.0662081;1.508090763;0.632191937;Aéreo;Express;Frágil;13;Individual;50.67314738;4.072577164;357.9141029
276.118852;2.160675134;0.016054014;Marítimo;Express;No Frágil;17;Empresarial;11.90013497;2.152325596;325.8268838
236.7792423;2.753394935;0.310232957;Aéreo;Normal;No Frágil;4;Individual;22.55680387;3.054748059;209.2976579
182.5715014;18.29653569;0.455264972;Marítimo;Normal;Frágil;19;Empresarial;74.7293534;2.894848008;412.6229536
458.8326336;2.285048383;0.446085625;Aéreo;Express;Frágil;2;Individual;41.23813693;2.499357348;343.4094373
148.3355913;1.671403405;0.556742632;Marítimo;Normal;Frágil;1;Empresarial;33.61462453;2.96828212;171.0794806
97.26579518;1.284902252;0.406513524;Aéreo;Normal;No Frágil;1;Individual;6.659839048;3.000357638;79.93409077
230.8013268;9.499143737;0.842116176;Aéreo;Normal;No Frágil;12;Individual;31.03593454;3.066024132;291.2726109
181.5021318;8.606119512;0.863828999;Marítimo;Express;No Frágil;4;Individual;13.01439534;3.716039618;172.2321065
90.08059365;2.491480596;0.479423029;Terrestre;Express;Frágil;7;Empresarial;141.8956902;2.970426801;379.1510879
431.0041491;2.085537426;0.027867228;Marítimo;Normal;Frágil;15;Empresarial;20.090602;2.863337392;391.6148494
317.7725544;2.980920138;0.394507984;Aéreo;Normal;Frágil;14;Empresarial;21.85585419;3.002110179;324.8549416
257.2817973;4.584716065;0.399137556;Aéreo;Normal;No Frágil;1;Individual;55.90316955;3.90401606;267.1013775
308.1493253;11.45524729;0.871617076;Marítimo;Normal;No Frágil;17;Individual;23.07022609;2.921271981;358.7154932
313.3692454;3.907143631;0.146243647;Marítimo;Express;Frágil;10;Individual;20.51605628;3.999069039;315.5230234
110.8290851;0.664395382;0.864809932;Marítimo;Express;No Frágil;6;Individual;2.461167557;2.667137296;124.5942182
321.9925882;0.463008697;1.950366543;Marítimo;Normal;Frágil;5;Empresarial;23.75045811;3.201918487;247.9394557
251.9644581;4.44601613;0.680155254;Terrestre;Normal;Frágil;3;Empresarial;6.172371504;2.985327755;168.302811
136.4390745;3.369401772;0.078345281;Marítimo;Normal;Frágil;4;Individual;24.34066262;3.556812137;163.9509567
240.8242574;16.05652791;0.51668986;Terrestre;Normal;Frágil;19;Empresarial;89.46397905;3.206551351;480.4746278
201.7016967;5.470458337;0.406275372;Aéreo;Express;Frágil;8;Empresarial;59.09078589;2.274938918;312.2519503
379.7538784;10.44944899;0.080019403;Aéreo;Express;No Frágil;15;Individual;59.53384484;2.274933015;447.9004378
439.6171599;8.053655326;0.210667632;Aéreo;Express;No Frágil;17;Individual;3.745035368;2.506647029;399.337813
222.7821645;6.22072098;0.585720413;Terrestre;Express;Frágil;3;Individual;64.98427217;3.058401642;290.9895463
199.9030419;2.735845127;0.305079636;Terrestre;Normal;No Frágil;6;Empresarial;57.71524909;4.179078208;243.4990902
126.5372321;5.63376545;0.439514193;Terrestre;Express;Frágil;4;Empresarial;7.691791251;3.736339927;139.2062127
189.1748819;5.293025222;1.373823828;Terrestre;Express;Frágil;14;Individual;40.12974606;2.719444398;297.1929368
306.7036679;14.95613328;0.943760756;Marítimo;Normal;Frágil;19;Empresarial;154.8176427;1.975488164;647.5638382
151.3056244;7.053568092;1.616142961;Aéreo;Normal;Frágil;8;Empresarial;94.34351509;3.071829734;343.2752092
121.681019;3.539119438;0.427077667;Marítimo;Normal;Frágil;1;Individual;25.11621586;3.488213505;156.5585736
475.1511522;8.427443622;0.050748304;Marítimo;Normal;Frágil;11;Empresarial;40.42722395;3.774906518;412.8732605
85.63207605;4.149664076;0.61403093;Marítimo;Express;No Frágil;7;Empresarial;4.837710618;3.693684509;125.7500687
654.0960414;6.509675357;0.615720943;Aéreo;Express;No Frágil;16;Individual;48.6354955;2.97775853;567.0762459
205.1246991;4.379334113;0.107551576;Terrestre;Normal;No Frágil;14;Individual;28.87676755;3.43983045;291.0867257
280.9138129;16.37589601;0.087070863;Marítimo;Express;Frágil;8;Individual;21.90398219;3.248153622;296.9876503
228.5016633;3.840803605;1.014730259;Aéreo;Express;Frágil;5;Individual;39.88078741;3.595697335;248.6935781
163.908009;3.900917973;0.075901751;Marítimo;Express;Frágil;1;Individual;11.05910548;3.841254974;125.7308105
268.6313064;0.115929797;0.791858909;Terrestre;Normal;No Frágil;16;Individual;23.65900036;4.159703058;309.7098644
417.8966757;6.807945812;0.239100525;Aéreo;Normal;No Frágil;16;Individual;20.19725257;3.402961045;404.3762869
287.7558804;4.162813544;0.427788294;Terrestre;Normal;Frágil;19;Individual;44.407899;2.551713394;406.1090144
345.7346671;2.54640416;0.281083725;Aéreo;Normal;No Frágil;8;Individual;27.2258655;2.6087396;325.9214799
145.3761219;12.2367245;0.69710393;Marítimo;Normal;No Frágil;12;Empresarial;11.00788919;3.473475233;209.9744511
269.3492929;9.586584907;0.107222471;Terrestre;Express;No Frágil;14;Individual;19.96998913;3.244687647;302.8774535
